Time;RPM;MAP;TP;lambda;MAT;CLT;Gego;Gwarm;Gbaro;Gammae;TPSacc;Gve;PW;PW_raw;IacDC;IacSteps;DutyCycle1;lambdaTarget;Spark;Dwell;EGT #1;Vbatt;IacInt;speed_rpm_ratio;altitude;speed;course;distance;distance_sum;inst_Vems;torque;torque_nominal;L100km;lambda_corr_ego;lambda_corr_ego;afr_diff;corrected_ve
0;2027;39.8;8.2;1.051;31;83;100;100;100;96;0;111;3.457;2.716;18;46;5.8;1.049;40;4.03;600;12.47;123;0;0;0;0;0;0;2.147;25.815;24.098;255;1.051;1.051;0.998;111.199
0.047;2026;39.8;8.2;1.051;31;83;100;100;100;96;0;111;3.465;2.716;18;46;5.8;1.049;40;4.03;600;12.35;123;0;0;0;0;0;0;2.146;26.507;24.792;255;1.051;1.051;0.998;111.199
0.094;2026;39.8;8.2;1.051;31;83;100;100;100;96;0;111;3.457;2.716;18;46;5.8;1.049;40;4.03;600;12.47;123;0;0;0;0;0;0;2.146;25.914;24.197;255;1.051;1.051;0.998;111.199
0.141;2024;39.8;8.2;1.053;31;83;100;100;100;96;0;111;3.457;2.716;18;46;5.8;1.049;40;4.03;600;12.47;123;0;0;0;0;0;0;2.144;22.752;21.024;255;1.053;1.053;0.996;111.424
0.188;2026;39.8;8.2;1.057;31;83;100;100;100;96;0;111;3.465;2.716;18;46;5.8;1.049;40;4.03;600;12.35;123;0;0;0;0;0;0;2.146;27.001;25.288;255;1.057;1.057;0.992;111.875
0.235;2024;39.8;8.2;1.053;31;83;100;100;100;96;0;111;3.45;2.716;18;46;5.8;1.049;40;4.03;600;12.59;123;0;0;0;0;0;0;2.144;22.95;21.222;255;1.053;1.053;0.996;111.424
0.282;2025;39.8;8.2;1.053;31;83;100;100;100;96;0;111;3.465;2.716;18;46;5.8;1.049;40;4.03;600;12.35;123;0;0;0;0;0;0;2.145;26.408;24.693;255;1.053;1.053;0.996;111.424
0.329;2023;39.8;8.2;1.057;31;83;100;100;100;96;0;111;3.457;2.716;18;46;5.8;1.049;40;4.03;600;12.47;123;0;0;0;0;0;0;2.143;26.309;24.594;255;1.057;1.057;0.992;111.875
0.375;2024;39.8;8.2;1.051;31;83;100;100;100;96;0;111;3.457;2.716;18;46;5.8;1.049;40;4.03;600;12.47;123;0;0;0;0;0;0;2.144;25.716;23.999;255;1.051;1.051;0.998;111.199
0.422;2025;39.8;8.2;1.049;31;83;100;100;100;96;0;111;3.457;2.716;18;46;5.8;1.049;40;4.03;600;12.47;123;0;0;0;0;0;0;2.145;26.112;24.395;255;1.049;1.049;1;110.974
0.485;2025;39.8;8.2;1.051;31;83;100;100;100;96;0;111;3.465;2.716;18;46;5.8;1.049;40;4.03;600;12.35;123;0;0;0;0;0;0;2.145;23.147;21.42;255;1.051;1.051;0.998;111.199
0.532;2025;39.8;8.2;1.051;31;83;100;100;100;96;0;111;3.465;2.716;18;46;5.8;1.049;40;4.03;600;12.35;123;0;0;0;0;0;0;2.145;25.222;23.503;255;1.051;1.051;0.998;111.199
0.579;2028;39.8;8.2;1.062;31;83;100;100;100;96;0;111;3.457;2.716;18;46;5.8;1.049;40;4.03;600;12.47;123;0;0;0;0;0;0;2.148;26.902;25.189;255;1.062;1.062;0.988;112.325
0.625;2025;39.8;8.2;1.062;31;83;100;100;100;96;0;111;3.465;2.716;18;46;5.8;1.049;40;4.03;600;12.35;123;0;0;0;0;0;0;2.145;25.716;23.999;255;1.062;1.062;0.988;112.325
0.672;2025;39.8;8.2;1.053;31;83;100;100;100;96;0;111;3.457;2.716;18;46;5.8;1.049;40;4.03;600;12.47;123;0;0;0;0;0;0;2.145;23.048;21.321;255;1.053;1.053;0.996;111.424
0.719;2027;39.8;8.2;1.051;31;83;100;100;100;96;0;111;3.457;2.716;18;46;5.8;1.049;40;4.03;600;12.47;123;0;0;0;0;0;0;2.147;25.716;23.999;255;1.051;1.051;0.998;111.199
0.766;2025;39.8;8.2;1.053;31;83;100;100;100;96;0;111;3.45;2.716;18;46;5.8;1.049;40;4.03;600;12.59;123;0;0;0;0;0;0;2.145;22.851;21.123;255;1.053;1.053;0.996;111.424
0.813;2028;39.8;8.2;1.051;31;83;100;100;100;96;0;111;3.465;2.716;18;46;5.9;1.049;40;4.03;600;12.35;123;0;0;0;0;0;0;2.148;26.309;24.594;255;1.051;1.051;0.998;111.199
0.891;2025;39.8;8.2;1.057;31;83;100;100;100;96;0;111;3.457;2.716;18;46;5.8;1.049;40;4.03;600;12.47;123;0;0;0;0;0;0;2.145;25.914;24.197;255;1.057;1.057;0.992;111.875
